MonsterLevel,BenchmarkLevel,ATKLevel,DEFLevel,MonsterHP,MonsterATK,MonsterDEF,MonsterDEFR,Gold,
1,1,0,0,10,1,1,0,1,
2,5,4.5,1.5,13,3,2,0,2,
3,25,7.5,2.5,18,3,3,0,3,
4,35,10.5,3.5,24,4,5,0,5,
5,50,15,5,34,4,10,0,10,
6,75,22.5,7.5,57,5,13,0,13,
7,100,30,10,101,6,18,0,18,
8,125,37.5,12.5,167,8,24,0,24,
9,150,45,15,298,9,34,0,34,
10,190,57,19,708,13,57,0,57,
11,220,66,22,1266,16,101,0,101,
12,250,75,25,2139,20,167,0,167,
13,280,84,28,3613,25,298,0,298,
14,320,96,32,7271,34,708,0,708,
15,375,112.5,37.5,16801,51,1266,0,1266,
16,400,120,40,24822,62,2139,0,2139,
17,440,132,44,44577,84,3613,0,3613,
18,480,144,48,80054,113,7271,0,7271,
19,525,157.5,52.5,138497,156,16801,0,16801,
20,600,180,60,341355,275,24822,0,24822,1200
21,675,202.5,67.5,808984,474,44577,0,44577,
22,750,225,75,1993914,837,80054,0,80054,
23,825,247.5,82.5,4725415,1441,138497,0,138497,
24,900,270,90,11646804,2543,341355,0,341355,
25,1000,300,100,37775215,5335,808984,0,808984,
26,1100,330,110,103731750,11192,1993914,0,1993914,
27,1200,360,120,270778087,23475,4725415,0,4725415,
28,1300,390,130,706830572,49242,11646804,0,11646804,
29,1450,435,145,2981041624,149593,37775215,0,37775215,
30,1600,480,160,12572474250,454450,103731750,0,103731750,
31,1750,525,175,53024119997,1380576,270778087,0,270778087,
32,1900,570,190,223628002382,4194058,706830572,0,706830572,
33,2050,615,205,911635630098,12741143,2981041624,0,2981041624,
34,2200,660,220,3090321513982,38706361,12572474250,0,12572474250,
35,2350,705,235,10475772056823,117586181,53024119997,0,53024119997,
36,2500,750,250,35511450730924,357215446,223628002382,0,223628002382,
37,2650,795,265,120379016093000,1085185976,911635630098,0,911635630098,
38,2800,840,280,408068586815004,3296690035,3090321513982,0,3090321513982,
39,2950,885,295,1.3833E+15,10015025466,10475772056823,0,10475772056823,
40,3100,930,310,4.68919E+15,30424678703,35511450730924,0,35511450730924,
41,3250,975,325,1.58957E+16,92427231192,120379016093000,0,120379016093000,
42,3400,"1,020.00",340,5.38844E+16,280784988699,408068586815004,0,408068586815004,
43,3550,"1,065.00",355,1.82661E+17,852997637832,1.3833E+15,0,1.3833E+15,
44,3700,"1,110.00",370,4.6531E+17,2591324320855,4.68919E+15,0,4.68919E+15,
45,3850,"1,155.00",385,1.13436E+18,7872192650994,1.58957E+16,0,1.58957E+16,
46,4000,"1,200.00",400,2.7654E+18,23914959866508,5.38844E+16,0,5.38844E+16,
47,4150,"1,245.00",415,6.74165E+18,72651334992990,1.82661E+17,0,1.82661E+17,
48,4300,"1,290.00",430,1.64351E+19,220707728790944,4.6531E+17,0,4.6531E+17,
49,4450,"1,335.00",445,4.00665E+19,670488732970380,1.13436E+18,0,1.13436E+18,
50,4600,"1,380.00",460,9.76763E+19,2.03688E+15,2.7654E+18,0,2.7654E+18,
51,4750,"1,425.00",475,2.38121E+20,6.18784E+15,6.74165E+18,0,6.74165E+18,
52,4900,"1,470.00",490,5.80503E+20,1.87981E+16,1.64351E+19,0,1.64351E+19,
53,5050,"1,515.00",505,1.41518E+21,5.71067E+16,4.00665E+19,0,4.00665E+19,
54,5200,"1,546.15",515.38,2.61467E+21,1.2278E+17,9.76763E+19,0,9.76763E+19,
55,5325,"1,575.00",525,4.64326E+21,2.51258E+17,2.38121E+20,0,2.38121E+20,
56,5450,"1,603.85",534.62,8.08402E+21,5.01635E+17,5.80503E+20,0,5.80503E+20,
57,5575,"1,632.69",544.23,1.4356E+22,1.02655E+18,1.41518E+21,0,1.41518E+21,
58,5700,"1,661.54",553.85,2.5494E+22,2.10074E+18,2.61467E+21,0,2.61467E+21,
59,5825,"1,690.38",563.46,4.52733E+22,4.29896E+18,4.64326E+21,0,4.64326E+21,
60,5950,"1,719.23",573.08,8.03984E+22,8.79743E+18,8.08402E+21,0,8.08402E+21,
61,6075,"1,748.08",582.69,1.42775E+23,1.80031E+19,1.4356E+22,0,1.4356E+22,
