Lv,ATK_Base,ATK_Pow,HP_Base,HP_Pow,DEF_Base,DEF_Pow,HPREC_Base,HPREC_Pow,CR_Base,CR_Pow,ATKT_Base,ATKT_Pow,OFFT,GOLDR,ATKR,OFFA,ATKSP,RCD,UCR_Base,UCR_Pow,ATKB,CD,DEFR,IGNDEF_Base,IGNDEF_Pow
0,1,1,1,2,0,-1,5,0,0,-1,0,-1,360,0,0,0,0,0,0,-1,0,0,0,0,1
1,1.1,1,1.02,2,1,-1,5.95,0,1,-2,4,-3,360.1,0.1,0.2,0.2,0.0005,0.0001,1,-2,0.2,0.2,0.2,2,-3
2,1.2,1,1.05,2,2,-1,6.9,0,2,-2,8,-3,360.2,0.2,0.4,0.4,0.001,0.0002,2,-2,0.4,0.4,0.4,3.996,-3
3,1.3,1,1.08,2,3,-1,8,0,3,-2,1.2,-2,360.3,0.3,0.6,0.6,0.0015,0.0003,3,-2,0.6,0.6,0.6,5.988008,-3
4,1.4,1,1.1,2,4,-1,9.25,0,4,-2,1.6,-2,360.4,0.4,0.8,0.8,0.002,0.0004,4,-2,0.8,0.8,0.8,7.976031984,-3
5,1.6,1,1.13,2,5,-1,1.07,1,5,-2,2,-2,360.5,0.5,1,1,0.0025,0.0005,5,-2,1,1,1,9.96007992,-3
6,1.8,1,1.16,2,6,-1,1.245,1,6,-2,2.4,-2,360.6,0.6,1.2,1.2,0.003,0.0006,6,-2,1.2,1.2,1.2,1.194015976,-2
7,2,1,1.19,2,7,-1,1.44,1,7,-2,2.8,-2,360.7,0.7,1.4,1.4,0.0035,0.0007,7,-2,1.4,1.4,1.4,1.391627944,-2
8,2.2,1,1.22,2,8,-1,1.67,1,8,-2,3.2,-2,360.8,0.8,1.6,1.6,0.004,0.0008,8,-2,1.6,1.6,1.6,1.588844688,-2
9,2.4,1,1.25,2,0.9,0,1.935,1,9,-2,3.6,-2,360.9,0.9,1.8,1.8,0.0045,0.0009,9,-2,1.8,1.8,1.8,1.785666999,-2
10,2.6,1,1.28,2,1,0,2.245,1,1,-1,4,-2,361,1,2,2,0.005,0.001,1,-1,2,2,2,1.982095665,-2
11,2.8,1,1.31,2,1.1,0,2.605,1,1.1,-1,4.4,-2,361.1,1.1,2.2,2.2,0.0055,0.0011,1.1,-1,2.2,2.2,2.2,2.178131473,-2
12,3,1,1.34,2,1.2,0,3.02,1,1.2,-1,4.8,-2,361.2,1.2,2.4,2.4,0.006,0.0012,1.2,-1,2.4,2.4,2.4,2.373775211,-2
13,3.2,1,1.38,2,1.3,0,3.5,1,1.3,-1,5.2,-2,361.3,1.3,2.6,2.6,0.0065,0.0013,1.3,-1,2.6,2.6,2.6,2.56902766,-2
14,3.4,1,1.41,2,1.4,0,4.06,1,1.4,-1,5.6,-2,361.4,1.4,2.8,2.8,0.007,0.0014,1.4,-1,2.8,2.8,2.8,2.763889605,-2
15,3.7,1,1.45,2,1.5,0,4.71,1,1.5,-1,6,-2,361.5,1.5,3,3,0.0075,0.0015,1.5,-1,3,3,3,2.958361826,-2
16,4,1,1.48,2,1.6,0,5.46,1,1.6,-1,6.4,-2,361.6,1.6,3.2,3.2,0.008,0.0016,1.6,-1,3.2,3.2,3.2,3.152445102,-2
17,4.3,1,1.52,2,1.7,0,6.335,1,1.7,-1,6.8,-2,361.7,1.7,3.4,3.4,0.0085,0.0017,1.7,-1,3.4,3.4,3.4,3.346140212,-2
18,4.6,1,1.56,2,1.8,0,7.345,1,1.8,-1,7.2,-2,361.8,1.8,3.6,3.6,0.009,0.0018,1.8,-1,3.6,3.6,3.6,3.539447931,-2
19,4.9,1,1.6,2,1.9,0,8.515,1,1.9,-1,7.6,-2,361.9,1.9,3.8,3.8,0.0095,0.0019,1.9,-1,3.8,3.8,3.8,3.732369035,-2
20,5.3,1,1.64,2,2,0,9.875,1,2,-1,8,-2,362,2,4,4,0.01,0.002,2,-1,4,4,4,3.924904297,-2
21,5.7,1,1.68,2,2.1,0,1.145,2,2.1,-1,8.4,-2,362.1,2.1,4.2,4.2,0.0105,0.0021,2.1,-1,4.2,4.2,4.2,4.117054489,-2
22,6.1,1,1.72,2,2.2,0,1.328,2,2.2,-1,8.8,-2,362.2,2.2,4.4,4.4,0.011,0.0022,2.2,-1,4.4,4.4,4.4,4.30882038,-2
23,6.6,1,1.76,2,2.3,0,1.54,2,2.3,-1,9.2,-2,362.3,2.3,4.6,4.6,0.0115,0.0023,2.3,-1,4.6,4.6,4.6,4.500202739,-2
24,7,1,1.8,2,2.4,0,1.786,2,2.4,-1,9.6,-2,362.4,2.4,4.8,4.8,0.012,0.0024,2.4,-1,4.8,4.8,4.8,4.691202334,-2
25,7.6,1,1.85,2,2.5,0,2.071,2,2.5,-1,1,-1,362.5,2.5,5,5,0.0125,0.0025,2.5,-1,5,5,5,4.881819929,-2
26,8.1,1,1.9,2,2.6,0,2.402,2,2.6,-1,1.04,-1,362.6,2.6,5.2,5.2,0.013,0.0026,2.6,-1,5.2,5.2,5.2,5.072056289,-2
27,8.7,1,1.94,2,2.7,0,2.7855,2,2.7,-1,1.08,-1,362.7,2.7,5.4,5.4,0.0135,0.0027,2.7,-1,5.4,5.4,5.4,5.261912176,-2
28,9.4,1,1.99,2,2.8,0,3.23,2,2.8,-1,1.12,-1,362.8,2.8,5.6,5.6,0.014,0.0028,2.8,-1,5.6,5.6,5.6,5.451388352,-2
29,1.01,2,2.04,2,2.9,0,3.746,2,2.9,-1,1.16,-1,362.9,2.9,5.8,5.8,0.0145,0.0029,2.9,-1,5.8,5.8,5.8,5.640485575,-2
30,1.08,2,2.09,2,3,0,4.344,2,3,-1,1.2,-1,363,3,6,6,0.015,0.003,3,-1,6,6,6,5.829204604,-2
31,1.17,2,2.14,2,3.1,0,5.0375,2,3.1,-1,1.24,-1,363.1,3.1,6.2,6.2,0.0155,0.0031,3.1,-1,6.2,6.2,6.2,6.017546195,-2
32,1.25,2,2.2,2,3.2,0,5.842,2,3.2,-1,1.28,-1,363.2,3.2,6.4,6.4,0.016,0.0032,3.2,-1,6.4,6.4,6.4,6.205511103,-2
33,1.35,2,2.25,2,3.3,0,6.775,2,3.3,-1,1.32,-1,363.3,3.3,6.6,6.6,0.0165,0.0033,3.3,-1,6.6,6.6,6.6,6.39310008,-2
